B sxx sxy
126.00000 9217824.149131363257766 5124805.869234574027359
126.50000 9182572.051776554435492 5105701.231562390923500
127.00000 9147588.780173128470778 5086738.604839663021266
127.50000 9112871.269644187763333 5067916.411496786400676
128.00000 9078416.501932604238391 5049233.097236493602395
128.50000 9044221.504325028508902 5030687.130606480874121
129.00000 9010283.348796181380749 5012277.002581398934126
129.50000 8976599.151171907782555 4994001.226154354400933
130.00000 8943166.070311523973942 4975858.335936386138201
130.50000 8909981.307307470589876 4957846.887765822000802
131.00000 8877042.104704264551401 4939965.458325216546655
131.50000 8844345.745732793584466 4922212.644766756333411
132.00000 8811889.553563207387924 4904587.064346078783274
132.50000 8779670.890573363751173 4887087.354063261300325
133.00000 8747687.157633587718010 4869712.170312103815377
133.50000 8715935.793406575918198 4852460.188536446541548
134.00000 8684414.273663379251957 4835330.102893841452897
134.50000 8653120.110613172873855 4818320.625926630571485
135.00000 8622050.852248413488269 4801430.488239249214530
135.50000 8591204.081703536212444 4784658.438183266669512
136.00000 8560577.416627693921328 4768003.241548066958785
136.50000 8530168.508569996803999 4751463.681258399970829
137.00000 8499975.042379831895232 4735038.557078348472714
137.50000 8469994.735617430880666 4718726.685320999473333
138.00000 8440225.337978897616267 4702526.898564510978758
138.50000 8410664.630731858313084 4686438.045373690314591
139.00000 8381310.426164274103940 4670458.990027392283082
139.50000 8352160.567043644376099 4654588.612251619808376
140.00000 8323212.926088200882077 4638825.806957588531077
140.50000 8294465.405448741279542 4623169.483985791914165
141.00000 8265915.936201165430248 4607618.567854466848075
141.50000 8237562.477849949151278 4592171.997513795271516
142.00000 8209403.017840814776719 4576828.726104525849223
142.50000 8181435.571084881201386 4561587.720721670426428
143.00000 8153658.179490779526532 4546447.962182905524969
143.50000 8126068.911507760174572 4531408.444801519624889
144.00000 8098665.861677163280547 4516468.176163772121072
144.50000 8071447.150193367153406 4501626.176910815760493
145.00000 8044410.922473670914769 4486881.480524708516896
145.50000 8017555.348736028186977 4472233.133118797093630
146.00000 7990878.623586385510862 4457680.193232036195695
146.50000 7964378.965613323263824 4443221.731627576053143
147.00000 7938054.616991215385497 4428856.831094789318740
147.50000 7911903.843090871348977 4414584.586255579255521
148.00000 7885924.932098562829196 4400404.103374287486076
148.50000 7860116.194641579873860 4386314.500171104446054
149.00000 7834475.963422043249011 4372314.905639158561826
149.50000 7809002.592857202515006 4358404.459865173324943
150.00000 7783694.458726952783763 4344582.313853393308818
